"sample","PC1","PC2","PC3","PC4","PC5","PC6"
"GSM776053",-4.67416073538192,0.557859216588781,-1.20776443694803,-0.271924870283746,-0.308166421799836,0.066140989820428
"GSM776054",2.01353077359856,-1.24041145605225,1.22853545263802,-0.390362569288689,0.500753167257886,0.284029765749819
"GSM776055",-1.38133207787758,0.677067607302887,1.71330830274775,0.402062672478772,0.786162404397873,-0.662330658487459
"GSM776056",1.03742805853295,-0.365357640157692,0.0127180421927247,0.247634036871135,-0.221019612657138,0.246202036733728
"GSM776057",0.339016123637346,1.57276448731074,-1.50998596378578,0.706698347218634,0.0661389747483229,0.303893366764429
"GSM776058",-2.77555896939094,2.50597540213395,1.36723264537448,-0.272937211368872,0.313963246109877,0.0725887683282045
"GSM776059",-2.62810792947713,-0.101273893755659,-0.891195387551412,-0.292263452137506,0.586144691906915,0.637522605119647
"GSM776060",-0.809509158660741,-0.776135839626316,-0.266802046276388,-0.707535185974393,0.597742409264944,0.462052659539193
"GSM776061",-0.595021267777721,0.910111034348089,0.776261722201888,-0.327383654493557,0.655443726423222,0.231386979827861
"GSM776062",-2.3155442799506,-1.02811897654877,0.71062160026107,0.119542316067284,-0.201836727446148,-0.29227173005547
"GSM776063",-5.57033973847713,-0.201411613596043,2.31232259582008,-1.12277676656128,-0.916687003126925,-1.61045631212207
"GSM776064",-1.56545387958632,-0.0819412121873337,-0.416810206327541,-0.516218744047927,-0.800724617570849,0.0473343278019891
"GSM776065",0.545612356676535,-0.856956626538789,0.605001165998434,-0.324087380202893,0.49562303801601,0.330849634021695
"GSM776066",1.17248324225615,0.675174260304588,-1.28572278451279,-0.238803626266606,-0.0251182255788417,0.443196134381377
"GSM776067",-0.00766838936608315,-0.133530640980942,0.910044146780501,-0.495923653615375,0.551950985591321,0.5188711145233
"GSM776068",-5.36281212229988,2.15552955895404,3.96523708407176,-1.58888449535481,-1.75695810225587,0.315065802224092
"GSM776069",0.0841206907954818,-0.576303877366087,1.24886848728473,-0.337734845462563,1.07696851240282,0.939470970436824
"GSM776070",2.16923966449775,0.221565266290707,1.59370351164136,0.183724382430116,-0.348484575398164,-0.242569868913133
"GSM776071",-2.20182766713713,-0.483469182086565,-0.292468380132142,0.161745552553512,0.0549519953573228,-1.248486452186
"GSM776072",-0.236322447620155,1.43583298682138,0.0219623941218199,0.566001591967204,-0.365986037841691,-0.00803467405351656
"GSM776073",3.281068644037,1.74178605243382,2.04918379750799,0.243116944533947,-0.170984590040534,0.0361211616188255
"GSM776074",0.31199173295458,-0.56088634370698,0.807855324431577,0.407773513567935,0.0707957014470526,0.354159656973072
"GSM776075",-0.198546925787283,0.333832446317003,0.426696234520746,0.268655935241126,-0.0405599167207452,-0.0506255862174071
"GSM776076",1.24009790676322,0.77966177324686,0.199873737927468,0.759272141537493,0.32953448261594,-0.0840960400610107
"GSM776077",-3.08247660250623,0.159266222924155,0.986688946144889,-1.27520174913271,-0.182443647651253,-0.634411695128825
"GSM776078",0.881530444961624,-0.736630162900046,0.669915107083137,0.0227367327003788,-0.00748052836623894,-0.199478737919278
"GSM776079",-4.70655908275204,2.63361081868695,1.437371927076,-0.798243609061284,-0.797742877951979,0.00850712560072664
"GSM776080",-0.229625866533645,-1.29585597501948,1.17851315900683,0.0501690858016369,-0.0490882696245035,0.204959860733773
"GSM776081",1.7230371765159,0.568874811130421,-1.09479982312993,-0.606119243589588,-0.368880115159263,-0.0559796116494527
"GSM776082",0.918010988858155,0.613672316457352,1.5247877100619,0.99198986281704,-0.436053680550747,-0.174126546521371
"GSM776083",0.194594878419315,2.35551214631715,-0.571384502278615,-0.0816620886151165,0.529118019743603,0.735959516309855
"GSM776084",-0.771464481928241,-0.588640247654032,-0.973544940343204,0.013486298311519,0.419911824891829,-0.342165057462426
"GSM776085",-0.189602602115343,1.20309736286049,0.287913641018412,0.66232511599296,-0.350362330282658,0.050634065946453
"GSM776086",1.01258522293919,1.23130651561165,-0.266414102165591,0.887332012605771,0.1613732742482,0.273377055960024
"GSM776087",-0.488626537861835,0.708269048128624,-1.10536729256958,-0.308325426306055,1.28789784121465,-0.158074680155095
"GSM776088",-0.0568120242207986,0.796025041806327,-0.606796482414783,0.927320935517878,-0.0113489192093927,0.186005218481848
"GSM776089",1.0119366425641,-0.768343719669444,2.34653931489658,-0.366818917657453,0.860308401975757,0.274673408899183
"GSM776090",-0.721117196758097,-0.831056097313991,0.722397112884113,1.04526027870318,-0.221795580321832,0.290408687162745
"GSM776091",-3.49928879166583,0.748972302406759,0.985766938449358,0.885453938031606,0.563492223681023,0.794915496082683
"GSM776092",1.3736842279312,0.278457094315911,-0.0809061541311925,1.18425191654706,-0.186815069680826,-0.351585789987402
"GSM776093",0.529296555401166,0.752345604143701,-0.684811952635353,-0.0850157496688932,0.244326183912044,-0.470481531334987
