"sample","Macrophage-rich program","T cell-inflamed program","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program","Immune-cold / exclusion-associated program","Proliferative / cycling program"
"GSM5482959",0.60867387596683,0.570275530958178,0.648918159790582,0.529854434532885,0.484730391888962,0.354828553890619
"GSM5482960",0.546600601521629,0.246403541826492,0.573462072049006,0.579821672279835,0.388743456545236,0.515391007335465
"GSM5482961",0.465629307528031,0.30249740011322,0.561153948398412,0.655862073038854,0.412119578140229,0.463343644992127
"GSM5482962",0.369583721851665,0.057863687851479,0.467314547261168,0.616570271842416,0.47094159688263,0.496636043997195
"GSM5482963",0.329936053198686,0.381020376562376,0.539417304132665,0.444504035582962,0.342908902197997,0.434415981113806
"GSM5482964",0.454782697386463,0.339408168771461,0.533196329113692,0.46872229330377,0.337821987392361,0.552393357719354
"GSM5482965",0.399861723434865,0.437531406515755,0.606854443601522,0.576565501944014,0.386285508166633,0.428002077131572
"GSM5482966",0.460523083247788,0.353655259515765,0.572115765614998,0.596073568230108,0.452680494672637,0.465509158837739
"GSM5482967",0.456258446561952,0.262020744042692,0.448317608554789,0.660648452818798,0.458976156721452,0.385927608142327
"GSM5482968",0.581340593783129,0.476449823801356,0.635686900098369,0.674477424732099,0.499411130255035,0.354743306630113
"GSM5482969",0.473418438099624,0.110184466966733,0.460362147292591,0.376646701459006,0.31809302800308,0.433208606741655
"GSM5482970",0.423544177059454,0.187113277045456,0.504782079780325,0.511959848795286,0.360993386796123,0.562952193024317
"GSM5482971",0.480416199921154,0.0458173865460689,0.453594573367369,0.600023704246772,0.410307125776153,0.490391518956043
"GSM5482972",0.347366839244912,0.232998756160872,0.453207690904019,0.560628092157985,0.370816488400244,0.567253246603794
"GSM5482973",0.492748778237108,0.328110826776308,0.597356387258494,0.484340394845475,0.398189115521796,0.548041598481853
"GSM5482974",0.363472749727886,0.127184576871652,0.462224498727012,0.385443207158541,0.299080878010562,0.567527985999671
"GSM5482975",0.432028782096289,0.427000034356574,0.597857430710756,0.457853655836925,0.359444053016558,0.479241559434219
"GSM5482976",0.567011612348427,0.505060882303376,0.694675361380896,0.684852521065392,0.525502646422207,0.349312017029338
"GSM5482977",0.430215481442776,0.208618409845617,0.464204032291475,0.521310052300631,0.358061540846901,0.557193091222723
"GSM5482978",0.561540051815018,0.452314371149338,0.643233302300154,0.700118114201088,0.509456029894705,0.48383609494919
"GSM5482979",0.456463308561213,0.321415447493831,0.460285218219187,0.364703068978255,0.359761887798779,0.44449641826314
"GSM5482980",0.567883079648254,0.573301515271634,0.62428785295161,0.468404738977338,0.415199447577215,0.44691606221756
"GSM5482981",0.351531834315,0.330354241299729,0.532621279889842,0.594259353979994,0.38581834828586,0.367188524753173
"GSM5482982",0.47505509099705,0.382300531517758,0.646618705985332,0.548613500171618,0.385824313059491,0.46206681274174
"GSM5482983",0.395655638308573,0.268321327126452,0.524006360424969,0.673776265071756,0.496796093496032,0.465241205375409
"GSM5482984",0.562900478947002,0.485144985223657,0.631725181820444,0.618081879292525,0.465816774888407,0.385866662990753
"GSM5482985",0.55084926315936,0.519917094197134,0.524486797896813,0.621618512644489,0.443212306592675,0.362398057920808
"GSM5482986",0.588381037869118,0.402741455174227,0.537510820629473,0.713590391612343,0.535514748790384,0.262377333918089
"GSM5482987",0.515859064258498,0.5558729013688,0.619878038419693,0.527340683538772,0.408816427958799,0.340243538237803
"GSM5482988",0.545586975423328,0.502829149760426,0.524528548223501,0.549200209026496,0.383272173886926,0.277867554416994
"GSM5482989",0.591856142166252,0.387671938657481,0.552889177861752,0.628801556375226,0.481990260557889,0.278772955467604
"GSM5482990",0.423673255267744,0.399474291949142,0.546275481765186,0.653663803738639,0.43110572153699,0.332763359931014
"GSM5482991",0.540379428194214,0.599520178696934,0.58197981619699,0.543701949940341,0.443782806505841,0.277982296594875
"GSM5482992",0.455484302688772,0.509872298872814,0.554951462814522,0.363735400112048,0.370938635844491,0.169277010518929
"GSM5482993",0.486619345886837,0.363614465551911,0.531547104291618,0.68660487202798,0.367095497701909,0.179961203258485
"GSM5482994",0.565818822610728,0.445126989828622,0.506273501652711,0.59868673332035,0.39521181359937,0.276903228228691
"GSM5482995",0.552035683584975,0.33278403750698,0.553156243677753,0.743052351344739,0.561364605734725,0.258440423145086
"GSM5482996",0.485849742770117,0.401888028479303,0.537142828246169,0.745483449600538,0.480623024560098,0.262103858669575
"GSM5482997",0.471032507750094,0.459141333486156,0.506195834707045,0.605778905091487,0.435363057049318,0.238282293373359
"GSM5482998",0.479970180661054,0.576347787911398,0.563298925307755,0.461807752637481,0.359141735966722,0.246233974352345
"GSM5482999",0.514971559660139,0.173547024425966,0.482966868824304,0.618151742724685,0.406132602116103,0.464463920389069
"GSM5483000",0.345022209798971,0.439807623905968,0.58145696659445,0.492787157220109,0.370226642007651,0.372128069596127
"GSM5483001",0.552034914422959,0.45726026588724,0.636165797681504,0.675277910556117,0.496964544816056,0.475551321945563
"GSM5483002",0.470046277291588,0.274340908313698,0.496698943439915,0.586953594688672,0.436349586878002,0.342102557013932
"GSM5483003",0.454043440063002,0.475975731003145,0.529281160329856,0.51845684584648,0.364103644968208,0.355650223444043
"GSM5483004",0.36994512871367,0.180981666975328,0.399285746950289,0.581195087267208,0.459178561656162,0.150607516419428
"GSM5483005",0.458530501043231,0.296786501330869,0.527064399805327,0.688032653765229,0.521367404585451,0.1930473735673
