"sample","geo_accession","COO_raw","COO_clean"
"GSM776074","GSM776074","UC","UC"
"GSM776075","GSM776075","GCB","GCB"
"GSM776076","GSM776076","GCB","GCB"
"GSM776077","GSM776077","ABC","ABC"
"GSM776078","GSM776078","GCB","GCB"
"GSM776079","GSM776079","GCB","GCB"
"GSM776080","GSM776080","ABC","ABC"
"GSM776081","GSM776081","GCB","GCB"
"GSM776082","GSM776082","GCB","GCB"
"GSM776083","GSM776083","GCB","GCB"
"GSM776084","GSM776084","GCB","GCB"
"GSM776085","GSM776085","ABC","ABC"
"GSM776086","GSM776086","GCB","GCB"
"GSM776087","GSM776087","UC","UC"
"GSM776088","GSM776088","GCB","GCB"
"GSM776089","GSM776089","GCB","GCB"
"GSM776090","GSM776090","GCB","GCB"
"GSM776091","GSM776091","GCB","GCB"
"GSM776092","GSM776092","ABC","ABC"
"GSM776093","GSM776093","GCB","GCB"
"GSM776094","GSM776094","ABC","ABC"
"GSM776095","GSM776095","ABC","ABC"
"GSM776096","GSM776096","ABC","ABC"
"GSM776097","GSM776097","ABC","ABC"
"GSM776098","GSM776098","ABC","ABC"
"GSM776099","GSM776099","GCB","GCB"
"GSM776100","GSM776100","ABC","ABC"
"GSM776101","GSM776101","ABC","ABC"
"GSM776102","GSM776102","GCB","GCB"
"GSM776103","GSM776103","ABC","ABC"
"GSM776104","GSM776104","GCB","GCB"
"GSM776105","GSM776105","ABC","ABC"
"GSM776106","GSM776106","GCB","GCB"
"GSM776107","GSM776107","ABC","ABC"
"GSM776108","GSM776108","ABC","ABC"
"GSM776109","GSM776109","UC","UC"
"GSM776110","GSM776110","GCB","GCB"
"GSM776111","GSM776111","UC","UC"
"GSM776112","GSM776112","GCB","GCB"
"GSM776113","GSM776113","ABC","ABC"
"GSM776114","GSM776114","GCB","GCB"
"GSM776115","GSM776115","ABC","ABC"
"GSM776116","GSM776116","GCB","GCB"
"GSM776117","GSM776117","ABC","ABC"
"GSM776118","GSM776118","ABC","ABC"
"GSM776119","GSM776119","GCB","GCB"
"GSM776120","GSM776120","GCB","GCB"
"GSM776121","GSM776121","ABC","ABC"
"GSM776122","GSM776122","ABC","ABC"
"GSM776123","GSM776123","ABC","ABC"
"GSM776124","GSM776124","ABC","ABC"
"GSM776125","GSM776125","ABC","ABC"
"GSM776126","GSM776126","GCB","GCB"
"GSM776127","GSM776127","ABC","ABC"
"GSM776128","GSM776128","GCB","GCB"
"GSM776129","GSM776129","ABC","ABC"
"GSM776130","GSM776130","GCB","GCB"
"GSM776131","GSM776131","GCB","GCB"
"GSM776132","GSM776132","ABC","ABC"
"GSM776133","GSM776133","GCB","GCB"
"GSM776134","GSM776134","GCB","GCB"
"GSM776135","GSM776135","ABC","ABC"
"GSM776136","GSM776136","GCB","GCB"
"GSM776137","GSM776137","UC","UC"
"GSM776138","GSM776138","ABC","ABC"
"GSM776139","GSM776139","ABC","ABC"
"GSM776140","GSM776140","UC","UC"
"GSM776141","GSM776141","GCB","GCB"
"GSM776142","GSM776142","ABC","ABC"
"GSM776143","GSM776143","UC","UC"
"GSM776144","GSM776144","GCB","GCB"
"GSM776145","GSM776145","GCB","GCB"
"GSM776146","GSM776146","ABC","ABC"
"GSM776147","GSM776147","GCB","GCB"
"GSM776148","GSM776148","GCB","GCB"
"GSM776149","GSM776149","GCB","GCB"
"GSM776150","GSM776150","ABC","ABC"
"GSM776151","GSM776151","ABC","ABC"
"GSM776152","GSM776152","ABC","ABC"
"GSM776153","GSM776153","ABC","ABC"
"GSM776154","GSM776154","GCB","GCB"
"GSM776155","GSM776155","ABC","ABC"
"GSM776156","GSM776156","GCB","GCB"
"GSM776157","GSM776157","ABC","ABC"
"GSM776158","GSM776158","ABC","ABC"
"GSM776159","GSM776159","ABC","ABC"
"GSM776160","GSM776160","GCB","GCB"
"GSM776161","GSM776161","GCB","GCB"
"GSM776162","GSM776162","ABC","ABC"
"GSM776163","GSM776163","GCB","GCB"
"GSM776164","GSM776164","GCB","GCB"
"GSM776165","GSM776165","ABC","ABC"
"GSM776166","GSM776166","UC","UC"
"GSM776167","GSM776167","GCB","GCB"
"GSM776168","GSM776168","UC","UC"
"GSM776169","GSM776169","GCB","GCB"
"GSM776170","GSM776170","GCB","GCB"
"GSM776171","GSM776171","GCB","GCB"
"GSM776172","GSM776172","GCB","GCB"
"GSM776173","GSM776173","GCB","GCB"
"GSM776174","GSM776174","ABC","ABC"
"GSM776175","GSM776175","GCB","GCB"
"GSM776176","GSM776176","GCB","GCB"
"GSM776177","GSM776177","GCB","GCB"
"GSM776178","GSM776178","ABC","ABC"
"GSM776179","GSM776179","ABC","ABC"
"GSM776180","GSM776180","GCB","GCB"
"GSM776181","GSM776181","ABC","ABC"
"GSM776182","GSM776182","GCB","GCB"
"GSM776183","GSM776183","GCB","GCB"
"GSM776184","GSM776184","ABC","ABC"
