"capture_area_id","role_family","program_id","program_name","observed_set_size","replicate_count","mean_expression_smd","median_expression_smd","sd_expression_smd","mean_abs_expression_smd","median_abs_expression_smd","p90_abs_expression_smd","p95_abs_expression_smd","max_abs_expression_smd","prop_abs_expression_smd_le_0_05","prop_abs_expression_smd_le_0_10","prop_abs_expression_smd_le_0_20","mean_detection_smd","median_detection_smd","sd_detection_smd","mean_abs_detection_smd","median_abs_detection_smd","p90_abs_detection_smd","p95_abs_detection_smd","max_abs_detection_smd","prop_abs_detection_smd_le_0_05","prop_abs_detection_smd_le_0_10","prop_abs_detection_smd_le_0_20","median_abs_expression_pooled_smd","p95_abs_expression_pooled_smd","max_abs_expression_pooled_smd","median_abs_detection_pooled_smd","p95_abs_detection_pooled_smd","max_abs_detection_pooled_smd","mean_matching_distance","median_matching_distance","max_matching_distance","pool_50_total","pool_100_total","pool_200_total","complete_replicates","noncomplete_replicates"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","Macrophage-rich program",22,1000,-0.0594535566056194,-0.0666213509273346,0.0432746825040101,0.0652291437706506,0.0669702271343625,0.108638741403779,0.118853016007972,0.151842682430848,0.336,0.844,1,0.00722111588907754,0.00741697738776015,0.012209325982322,0.0114925842558157,0.00977086841501366,0.0229260103446823,0.0269143011795381,0.0484102116925685,1,1,1,0.0384460142232384,0.0694952770984219,0.0898577966858315,0.00986808068730144,0.0269893392493162,0.0486477062666856,0.138757027833187,0.13996995908224,1.29168758651415,22000,0,0,1000,0
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","Proliferative / cycling program",22,1000,-0.023101879226067,-0.0231341978879283,0.0132737540409708,0.0235547589194601,0.0231587898785384,0.0405411843282396,0.0444397123121914,0.0609943895730624,0.988,1,1,0.0400314255484643,0.0397940822720558,0.0127647483900459,0.0400316032006173,0.0397940822720558,0.0557205977885284,0.0608503037064106,0.0847400769811195,0.775,1,1,0.0260758340878355,0.0503443302135712,0.0695218023185899,0.0756533907752842,0.114883245663929,0.159320302046934,0.0893242552754651,0.089414846707639,0.256703120833001,22000,0,0,1000,0
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","Stromal / fibrotic program",22,1000,-0.0868443517020836,-0.0937581284965556,0.0417612948333036,0.0878563221139328,0.0937581284965556,0.135347336758782,0.144444506646597,0.200523854221021,0.188,0.558,0.999,0.108978137301786,0.110188747898406,0.024957262332694,0.10900975938502,0.110188747898406,0.1407182703915,0.147451286990208,0.178451587688752,0.019,0.316,1,0.0728939262156257,0.113506726305946,0.158906081436717,0.144105593181586,0.194039057063415,0.233904406489464,0.23165793034197,0.233862786654479,1.30116482421795,22000,0,0,1000,0
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","T cell-inflamed program",21,1000,-0.0250732446722752,-0.0259433974344992,0.0201928253396109,0.0273585505377952,0.0261358488101214,0.0513883819142012,0.057714199655143,0.0747764642536059,0.887,1,1,0.0404200354033395,0.0411307032327247,0.0124498071502246,0.0404352965692449,0.0411307032327247,0.0554706158303786,0.0599326457399014,0.0699780290294323,0.776,1,1,0.019865883265726,0.0444158324864037,0.058052533635755,0.0556481185785568,0.0807287040771199,0.0946342559963952,0.0957721750243441,0.0952883496225799,0.565946161271437,21000,0,0,1000,0
"GSM8500538_Cap.area5_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","Immune-inflamed / antigen-presentation program",13,1000,-0.148161645672702,-0.159519806497204,0.0812803288786539,0.152360437033458,0.159519806497204,0.243761788052164,0.258775854617688,0.295969168678114,0.125,0.262,0.68,0.0429085093485228,0.0436580046869034,0.0163162821967941,0.0430712885153193,0.0436580046869034,0.0632152104063757,0.0682197478968808,0.0886329929239393,0.647,1,1,0.121383056510577,0.207846229014436,0.239302025561404,0.126604744427116,0.203229751783729,0.269665151084656,0.239708668993854,0.245218542237236,2.14692144449939,13000,0,0,1000,0
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","Immune-cold / exclusion-associated program",22,1000,-0.0321098796831567,-0.0342122302253363,0.0206021072214462,0.0334460154130051,0.0343244412516266,0.0582492679217206,0.0641697584303647,0.0864394253873546,0.811,1,1,0.023051115187664,0.0244360311438283,0.0100408279598101,0.0232707281809375,0.0244360311438283,0.0347085028348645,0.0372766207576234,0.0471599836724841,1,1,1,0.0248824746789579,0.0472696050149408,0.0641955005842037,0.0324479408296465,0.0495113670986663,0.062692398011516,0.0789337483833831,0.0789663382451614,0.502616919733795,22000,0,0,1000,0
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","Macrophage-rich program",22,1000,-0.0766042327963405,-0.0848222081198519,0.050386523124047,0.0811617817186202,0.0855907657583341,0.135283840392183,0.143849511833434,0.170279911170761,0.272,0.605,1,0.0161719054901451,0.0164203903546111,0.00911671002893935,0.016745140539207,0.0164203903546111,0.0275489013532332,0.0298057322550517,0.0414789955403204,1,1,1,0.048516033802387,0.0839138905473034,0.100330552204719,0.018710610048599,0.0338004575217287,0.0470292921080889,0.138865299364888,0.140353246497192,1.46251834845615,22000,0,0,1000,0
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","Proliferative / cycling program",22,1000,-0.00945228153894723,-0.00967454023915737,0.0106745609175109,0.0117744470828621,0.0104569816782061,0.0231587031455872,0.0269142804330853,0.0363497534377329,1,1,1,0.0253320708336049,0.0257590009828248,0.00621077631709459,0.0253320708336049,0.0257590009828248,0.0329263846399793,0.0352571462092712,0.0427241436240815,1,1,1,0.012111952760581,0.0313702377709176,0.0423787183729679,0.0958291244766804,0.131916218452329,0.159959995049859,0.0561587754414175,0.0563693149537063,0.289457084835492,22000,0,0,1000,0
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","Stromal / fibrotic program",22,1000,-0.066733776069898,-0.0702741801320649,0.0389041890316837,0.0689246229029455,0.0702741801320649,0.114009133807475,0.124178997364633,0.16996904678782,0.313,0.8,1,0.0304362441159668,0.0316345435030772,0.0110653645702726,0.0305397470504295,0.0316345435030772,0.0435101433519571,0.0471638747602462,0.0548643374407613,0.983,1,1,0.0459356019332408,0.0829365247130604,0.114369527423919,0.0559720642552795,0.0836025364733256,0.096896089286456,0.145216499230107,0.146667266151449,1.3383492272552,22000,0,0,1000,0
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","T cell-inflamed program",21,1000,-0.0388847062962856,-0.039429693471266,0.0146969755329707,0.0389535414505933,0.039429693471266,0.05778125807019,0.0623894774495395,0.0830200798930391,0.779,1,1,0.0499586170458453,0.0508731931365602,0.0151244241218775,0.0499747595013598,0.0508731931365602,0.0680836595967007,0.073704984383184,0.0869898991613934,0.473,1,1,0.0441505099382431,0.069671117305685,0.0932625249577884,0.0752500753104616,0.108182731325284,0.12925295942151,0.104585559660231,0.105140759927813,0.386444785753512,21000,0,0,1000,0
"GSM8500539_Cap.area6_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","Immune-inflamed / antigen-presentation program",13,1000,-0.0251396197770714,-0.0327187823056405,0.0255066974970191,0.0315805027377995,0.0331126074990768,0.0526862571005293,0.05728279612462,0.0706629857383853,0.849,1,1,0.00849273953564558,0.00867443726050729,0.00330618514489714,0.00851482761491381,0.00867443726050729,0.0125250411176102,0.0134559563358115,0.0173911888491148,1,1,1,0.0212390730855159,0.0376205337774859,0.0463251385341125,0.0100995120129079,0.0156880127615117,0.0202864112234824,0.0513000885616137,0.0513972768877252,0.558628974783241,13000,0,0,1000,0
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","Immune-cold / exclusion-associated program",22,1000,-0.0157146977326112,-0.0157963242327448,0.00686596513367917,0.0157426015201486,0.0157963242327448,0.0249105956014834,0.0265306393665711,0.0335174072041619,1,1,1,0.0167318989198815,0.0169526585397148,0.00260689205145128,0.0167318989198815,0.0169526585397148,0.0198781173142672,0.0206294851448258,0.0235286898021706,1,1,1,0.0118512169264106,0.0201002952851293,0.0255079979183263,0.0198991536711926,0.024247155989635,0.0276488071063821,0.0365739066707457,0.0366422102606599,0.136443500224787,22000,0,0,1000,0
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","Macrophage-rich program",22,1000,-0.0113352307667002,-0.0112498300311108,0.00333789522449864,0.0113352307667002,0.0112498300311108,0.0156908193363414,0.0169493477614317,0.0206880512544795,1,1,1,0.021851426771427,0.0221284702177695,0.00238856284363922,0.021851426771427,0.0221284702177695,0.0245288466481712,0.0253039682038217,0.0274543054227238,1,1,1,0.0097998774882218,0.014796930090312,0.0180995288103241,0.0228584112988358,0.0260979746301961,0.0283558011506415,0.031709719007763,0.0317781021072656,0.165315529619421,22000,0,0,1000,0
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","Proliferative / cycling program",22,1000,-0.00294573351418554,-0.00306391167355973,0.00526071174319371,0.00485570274414488,0.00418597788059612,0.00974533891425954,0.0114368794396892,0.0206014979435945,1,1,1,0.00352675307036856,0.00355055680330335,0.00146649342199323,0.00353850491330907,0.00355055680330335,0.00537834343937005,0.00597593715485554,0.00792624300455701,1,1,1,0.00457905923339587,0.012572803992397,0.0227494202690035,0.0129029336799792,0.0218019343194651,0.0287550102895335,0.0201329572178949,0.0201815168803339,0.130393490566367,22000,0,0,1000,0
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","Stromal / fibrotic program",22,1000,-0.0387093449311776,-0.0442055256134563,0.0216958677506157,0.0397753651318212,0.0442055256134563,0.0631739677748096,0.0661595543508996,0.0824827381617398,0.621,1,1,0.0417203176387903,0.0425816777184877,0.00491841483805041,0.0417203176387903,0.0425816777184877,0.0472849152868065,0.0483588337001998,0.0524832304938963,0.984,1,1,0.0312484137556812,0.0472695429752725,0.0591870072109057,0.0602634724786467,0.0685024459420792,0.0743606807299983,0.0852649208144621,0.0874600771719713,0.769769429810398,22000,0,0,1000,0
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","T cell-inflamed program",21,1000,-0.0187860704293052,-0.0223729448681151,0.0135759027160041,0.0203265855739099,0.0223729448681151,0.0346228911247122,0.0365767755791441,0.0409721544279432,1,1,1,0.00798049436947491,0.00815961293529021,0.00237643964416547,0.00798211843368675,0.00815961293529021,0.0109493361378856,0.0115269267164513,0.0160572800299615,1,1,1,0.0200331963430734,0.0335136290786849,0.0375448832479,0.0111309624130878,0.0157205096837639,0.0219075070237779,0.0333239940508999,0.0334205014960124,0.516300459061676,21000,0,0,1000,0
"GSM8500540_Cap.area7_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","Immune-inflamed / antigen-presentation program",13,1000,-0.275325097418261,-0.280443935463471,0.114107891792344,0.276418720633503,0.280443935463471,0.419607431994061,0.440061018311909,0.511101944135936,0.033,0.077,0.249,0.00871252778108022,0.00883512132901228,0.00387806444401922,0.00877202758121686,0.00883512132901228,0.0137268834207824,0.0149248659738693,0.0201660396436232,1,1,1,0.233509551144405,0.401469779547958,0.475685128171342,0.134088133268279,0.235706193422318,0.32865209339159,0.3759885006648,0.388230156014843,2.89683975854638,13000,0,0,1000,0
