"endpoint_type","role_family","family_label","expected_test_count","observed_valid_test_count","capture_area_id","program_id","raw_p","BH_FDR","evaluability","exclusion_failure_reason"
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500541_Cap.area8_LN_V2","stromal_fibrotic",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500541_Cap.area8_LN_V2","immune_cold_exclusion",0.268731268731269,0.268731268731269,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500541_Cap.area8_LN_V2","proliferative_cycling",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500542_Cap.area9_tonsil_V2","macrophage_rich",0.130869130869131,0.137100994243851,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500542_Cap.area9_tonsil_V2","t_cell_inflamed",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500542_Cap.area9_tonsil_V2","stromal_fibrotic",0.12987012987013,0.137100994243851,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500542_Cap.area9_tonsil_V2","immune_cold_exclusion",0.0769230769230769,0.0890688259109312,"EVALUABLE",""
"MATCHED_NULL_MORAN","CONTEXT_ONLY","06P_MATCHED_NULL_MORAN_CONTEXT_ONLY_BH",22,22,"GSM8500542_Cap.area9_tonsil_V2","proliferative_cycling",0.000999000999000999,0.00183150183150183,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500536_Cap.area3_DLBCL_V1","macrophage_rich",0.020979020979021,0.0287081339712919,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500536_Cap.area3_DLBCL_V1","t_cell_inflamed",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500536_Cap.area3_DLBCL_V1","antigen_presentation",0.869130869130869,0.903896103896104,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500536_Cap.area3_DLBCL_V1","stromal_fibrotic",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500536_Cap.area3_DLBCL_V1","immune_cold_exclusion",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
