normalized_program_name,historical_program_name,gene_symbol,membership_index,source_workbook,source_sheet,source_excel_row
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,CXCR4,11,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,124
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,FN1,12,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,125
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,COL1A1,13,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,126
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,COL3A1,14,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,127
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,ACTA2,15,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,128
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,PDGFRB,16,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,129
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,MMP2,17,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,130
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,MMP9,18,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,131
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,CD274,19,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,132
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,LGALS9,20,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,133
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,HAVCR2,21,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,134
Immune-cold / exclusion-associated program,Immune-cold / excluded niche,ENTPD1,22,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,135
Proliferative / cycling program,Proliferative/cycling program,MKI67,1,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,92
Proliferative / cycling program,Proliferative/cycling program,TOP2A,2,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,93
Proliferative / cycling program,Proliferative/cycling program,PCNA,3,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,94
Proliferative / cycling program,Proliferative/cycling program,BIRC5,4,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,95
Proliferative / cycling program,Proliferative/cycling program,AURKA,5,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,96
Proliferative / cycling program,Proliferative/cycling program,AURKB,6,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,97
Proliferative / cycling program,Proliferative/cycling program,CDK1,7,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,98
Proliferative / cycling program,Proliferative/cycling program,CCNB1,8,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,99
Proliferative / cycling program,Proliferative/cycling program,CCNB2,9,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,100
Proliferative / cycling program,Proliferative/cycling program,MCM2,10,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,101
Proliferative / cycling program,Proliferative/cycling program,MCM3,11,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,102
